1,100,AAS,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics."
2,201,AAS,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201."
3,215,AAS,US Citizenship Comparatively,"Examines the racial, gendered, and sexualized aspects of US citizenship historically and comparatively. Interdisciplinary course taught from a humanities perspective. Readings draw from critical legal studies, history, literature, literary criticism, and ethnography. Same as AFRO 215, AIS 295, GWS 215, and LLS 215. Prerequisite: One of: AAS 100, AAS 120, AFRO 100 AIS 101, GWS 250, LLS 100."
4,258,AAS,Muslims in America,"Introduction to the study of Muslims in the United States and broadly the history of Islam in the Americas. Using a comparative approach, we study how the historical narrative of African American and Latino Muslims relates to newer immigrant populations, primarily Arab American and South Asian American Muslim communities. Same as LLS 258 and REL 258."
5,260,AAS,Intro Asian American Theatre,Same as THEA 260. See THEA 260.
6,265,AAS,Politics of Hip Hop,Same as LLS 265. See LLS 265.
7,281,AAS,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281."
8,300,AAS,"Theories of Race, Gender, and Sexuality","Explores theories for performing interdisciplinary, intersectional and comparative studies within the field of Asian American studies. Follows multiple genealogies of critical work in ethnic and American studies. Same as GWS 305 and LLS 305."
9,310,AAS,Race and Cultural Diversity,"Same as AFRO 310, EPS 310, and LLS 310. See EPS 310."
10,355,AAS,Race and Mixed Race,Same as LLS 355 and SOC 355. See LLS 355.
11,357,AAS,Literatures of the Displaced,"Same as AIS 357, ENGL 357, GWS 357, and LLS 357. See LLS 357."
12,465,AAS,"Race, Sex, and Deviance","Same as AFRO 465, GWS 465, and LLS 465. See LLS 465."
13,479,AAS,"Race, Medicine, and Society",Same as ANTH 479 and LLS 479. See LLS 479.
14,590,AAS,Asian Am Studies Seminar,Approved for letter and S/U grading. May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing or consent of instructor.
