crn,course,students_count,average_gpa,year,semester,professor
70761,1,150,3.15,2020,Spring,"Thomas, M"
70762,1,221,3.53,2020,Spring,"Lee, S"
30106,1,187,2.01,2020,Spring,"Espiritu, A"
66639,2,316,3.71,2020,Spring,"Agosto Rosa, R"
66638,2,382,2.7,2020,Spring,"Chu, Y"
46980,2,51,2.93,2020,Spring,"Agosto Rosa, R"
46979,2,205,2.55,2020,Spring,"Chu, Y"
46987,2,255,3.44,2020,Spring,"Agosto Rosa, R"
46986,2,299,3.75,2020,Spring,"Chu, Y"
38764,2,399,3.22,2020,Spring,"Chu, Y"
38765,2,44,3.36,2020,Spring,"Agosto Rosa, R"
52317,3,165,3.69,2020,Spring,"Compoc, K"
52318,3,109,3.57,2020,Spring,"Compoc, K"
52319,3,249,3.43,2020,Spring,"Compoc, K"
52320,3,138,3.05,2020,Spring,"Compoc, K"
52321,3,446,3.37,2020,Spring,"Compoc, K"
51119,4,383,3.91,2020,Spring,"Rana, J"
51121,4,176,3.32,2020,Spring,"Rana, J"
66662,4,277,3.4,2020,Spring,"Rana, J"
40136,5,54,3.43,2020,Spring,"Bright, L"
40133,5,177,3.26,2020,Spring,"Bright, L"
60383,6,189,2.58,2020,Spring,"Coyoca, W"
60382,6,427,3.9,2020,Spring,"Coyoca, W"
54519,7,415,3.1,2020,Spring,"Burgos, A"
54520,7,100,3.37,2020,Spring,"Burgos, A"
54518,7,249,2.72,2020,Spring,"Burgos, A"
54521,7,293,2.91,2020,Spring,"Burgos, A"
69047,8,22,3.8,2020,Spring,"Desai, R"
69049,8,449,2.94,2020,Spring,"Desai, R"
69048,8,248,2.15,2020,Spring,"Desai, R"
33069,9,158,2.46,2020,Spring,"Anderson, J"
33075,9,471,3.7,2020,Spring,"Anderson, J"
33062,9,490,3.51,2020,Spring,"Anderson, J;Moton, T;Ward, R"
33079,9,371,2.46,2020,Spring,"Anderson, J"
57160,10,44,3.45,2020,Spring,"Dowling, J"
57159,10,51,2.87,2020,Spring,"Dowling, J"
57161,10,383,3.56,2020,Spring,"Dowling, J"
70259,11,436,2.67,2020,Spring,"Coyoca, W"
70260,11,385,2.31,2020,Spring,"Coyoca, W"
70258,11,49,3.78,2020,Spring,"Coyoca, W"
70262,11,143,2.84,2020,Spring,"Coyoca, W"
70257,11,328,3.93,2020,Spring,"Coyoca, W"
48488,12,27,3.9,2020,Spring,"Cacho, L"
48487,12,243,3.21,2020,Spring,"Cacho, L"
48490,12,395,3.42,2020,Spring,"Cacho, L"
48489,12,321,2.01,2020,Spring,"Cacho, L"
48492,12,177,3.6,2020,Spring,"Cacho, L"
